139.162.7.59 - - [22/Jan/2023:06:08:01 -0500] "GET /home.aspx HTTP/1.1" 404 1083
139.162.7.59 - - [22/Jan/2023:06:08:01 -0500] "GET /localstart.cfm HTTP/1.1" 404 1088
139.162.7.59 - - [22/Jan/2023:06:08:01 -0500] "GET /index.html HTTP/1.1" 404 1084
139.162.7.59 - - [22/Jan/2023:06:08:01 -0500] "GET /base.aspx HTTP/1.1" 404 1083
139.162.7.59 - - [22/Jan/2023:06:08:01 -0500] "GET /start.jhtml HTTP/1.1" 404 1085
139.162.7.59 - - [22/Jan/2023:06:08:01 -0500] "GET /index.cfm HTTP/1.1" 404 1083
139.162.7.59 - - [22/Jan/2023:06:08:01 -0500] "GET /start.html HTTP/1.1" 404 1084
139.162.7.59 - - [22/Jan/2023:06:08:01 -0500] "GET /indice.pl HTTP/1.1" 404 1083
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET /index.php HTTP/1.1" 404 1083
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET /start.aspx HTTP/1.1" 404 1084
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET /menu.shtml HTTP/1.1" 404 1084
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET /base.inc HTTP/1.1" 404 1082
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET /menu.cgi HTTP/1.1" 404 1082
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET default.asp HTTP/1.1" 400 1160
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET /inicio.jsa HTTP/1.1" 404 1084
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET /index.jsp HTTP/1.1" 200 11286
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET /home.jsa HTTP/1.1" 404 1082
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET /menu.cfm HTTP/1.1" 404 1082
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET /base.html HTTP/1.1" 404 1083
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET /main.php HTTP/1.1" 404 1082
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET /robots.txt HTTP/1.1" 404 1084
